Name,Token,Type,Status,ICO start,ICO end,Raised,Price,Bonus,Bounty,MVP/Prototype,Platform,Accepting,Minimum investment,Soft cap ,Hard cap ,Country,Whitelist/KYC,Restricted areas,Rate (Overall),Benchy Rating,Benchy Weight,Expert Team,Expert Vision,Expert Product,Weight of Experts,Number of Experts,Expert 1 Team,Expert 1 Vision,Expert 1 Product,Expert 1 Weight,Expert 2 Team,Expert 2 Vision,Expert 2 Product,Expert 2 Weight,Expert 3 Team,Expert 3 Vision,Expert 3 Product,Expert 3 Weight,Expert 4 Team,Expert 4 Vision,Expert 4 Product,Expert 4 Weight,Expert 5 Team,Expert 5 Vision,Expert 5 Product,Expert 5 Weight,Expert 6 Team,Expert 6 Vision,Expert 6 Product,Expert 6 Weight,Expert 7 Team,Expert 7 Vision,Expert 7 Product,Expert 7 Weight,Expert 8 Team,Expert 8 Vision,Expert 9 Product,Expert 9 Weight,Expert 10 Team,Expert 10 Vision,Expert 10 Product,Expert 10 Weight,Expert 11 Team,Expert 11 Vision,Expert 11 Product,Expert 11 Weight,Expert 12 Team,Expert 12 Vision,Expert 12 Product,Expert 12 Weight,Expert 13 Team,Expert 13 Vision,Expert 13 Product,Expert 13 Weight,Expert 14 Team,Expert 14 Vision,Expert 14 Product,Expert 14 Weight,Expert 15 Team,Expert 15 Vision,Expert 15 Product,Expert 15 Weight,Expert 16 Team,Expert 16 Vision,Expert 16 Product,Expert 16 Weight,Expert 17 Team,Expert 17 Vision,Expert 17 Product,Expert 17 Weight,Expert 18 Team,Expert 18 Vision,Expert 19 Product,Expert 19 Weight,Expert 20 Team,Expert 20 Vision,Expert 20 Product,Expert 20 Weight
2100NEWS,NWS,Utility,Ended,3/14/2018,5/23/2018,"$632,900",,,,,,,,,,Slovenia,,"USA, Canada, South Korea, Singapore, China",3.2,3.2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22x Fund,22X,SecuritySTO,Ended,3/9/2018,3/23/2018,N/A,,,,,,,,,,USA,,,2.2,2.2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27v,27v,Utility,Ended,5/8/2018,8/6/2018,N/A,,,,,,,,,,USA,,"Balkans, Belarus, Burma, Cote D’Ivoire (Ivory Coast), Cuba, the Democratic Republic of Congo, Iran, Iraq, Liberia, North Korea, Sudan, Syria, or Zimbabwe",2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Key,2KEY,Utility,Unknown,,,N/A,1 2KEY = 0.095 USD,,,,Ethereum,,,,"20,000,000 USD",Israel,,,3.9,3.7,71%,5,4,4,29%,1,5,,4,,,4,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2TF,2TF,Utility,Ended,10/8/2018,11/13/2018,N/A,,,,,,,,,,Cayman Islands,,USA,3.3,3.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 Token,300,Utility,Ended,6/30/2017,7/6/2017,"$16,724",,,,,,,,,,Hong Kong,,,1,0.9,25%,1,1,1,75%,10,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,1,1,,1,,,1,0.09,,1,,0.04,1,,,0.08,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300cubits,TEU,Utility,Ended,4/12/2018,5/12/2018,"$1,453,740",,,,,,,,,,Hong Kong,,"USA, China",3.7,3.3,46%,4.2,4.1,3.9,54%,4,3,3,5,,5,4,,4,3,5,,4,,,5,0.19,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3c,3cCoin,Utility,Ended,5/10/2018,6/10/2018,"$1,498,000",,,,,,,,,,Bulgaria,,,3.7,3.5,26%,3.5,3.8,3.8,74%,9,4,3,1,,4,5,3,5,3,5,,5,,3,4,5,,5,,5,4,,,5,,,4,0.08,,5,,0.07,,,,0.06,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D-Token,3DT,Utility,Ended,1/1/2018,2/11/2018,"$11,892,381",,,,,,,,,,UK,,,2.7,2.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DAX,3DAX/3DX,Utility,13 days 15 hours left,2/8/2019,3/7/2019,N/A,1 3DAX/3DX = 0.000005 ETH,,Available,,Ethereum,ETH,,"2,600 ETH","9,000 ETH",Indonesia,,,3.3,3.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DChain,3xD,Utility,Ended,9/1/2018,12/30/2018,N/A,1 3xD = 0.0005 ETH,Available,Available,,Ethereum,ETH,0.1 ETH,,"30,000 ETH",USA,,,3.5,3.7,68%,2,4,3.6,32%,2,2,2,4,,,4,,0.15,4,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3DES,DES,Utility,Unknown,,,N/A,1 DES = 0.286 USD,,,,Ethereum,,,,"7,150,000 USD",Russia,,,2.4,2.4,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3S,R3S,Utility,Ended,4/3/2018,4/30/2018,N/A,,,,,,,,,,Estonia,,,3.2,2.9,78%,4.4,4.6,4,22%,2,5,4,4,,,5,,0.09,4,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433token,433,Utility,Unknown,,,N/A,1 433 = 0.09 USD,,Available,,Ethereum,ETH,,"4,000,000 USD","27,000,000 USD",British Virgin Islands,,,3.8,3.5,51%,4.7,4.5,3.2,49%,3,5,4,5,,,5,,5,2,,,5,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ARTechnologies,4ART,Utility,Ended,7/9/2018,8/31/2018,N/A,1 4ART = 0.3 EUR,Available,,,Ethereum,"ETH, BTC, Fiat",500 EUR,"15,000,000 EUR","250,000,000 EUR",Switzerland,,USA,3.3,3.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4lions,LION,Utility,Unknown,,,N/A,1 LION = 120 USD,,,,Ethereum,ETH,,"57,000","122,000",Russia,,,2.1,2.1,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4NEW,FRNC,Utility,Ended,6/1/2018,8/10/2018,"$42,100,000",,,,,,,,,,UK,,,3.8,2.9,33%,4.2,4.5,4.2,67%,8,5,4,4,,5,5,3,2,5,5,,5,,5,5,2,,5,,0.05,4,,,2,,,5,0.09,,,,0.04,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777.Bingo,777,Utility,Unknown,,,N/A,1 777 = 0.0000588235 ETH,,,,Ethereum,"BTC, ETH, QTUM",,"1,000,000,000","2,500,000,000",Hong Kong,,"USA, China",1.9,2.1,57%,2,1.5,1.5,43%,2,2,2,2,,,1,,0.23,1,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Seconds,CRET,Utility,Unknown,,,N/A,1 CRET = 0.1 USD,,,,Ethereum,"BTC, ETH",,"3,000,000 USD","45,000,000 USD",Seychelles,,,2.9,2.9,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ype,7ype,Utility,Ended,7/17/2017,10/7/2017,"$240,872",,,,,,,,,,UK,,,1.3,1.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Circuit Studios,8BT,Utility,Ended,10/1/2018,10/31/2018,N/A,,,,,,,,,,USA,,,3.9,3.9,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88 Coin,88 Coin,Utility,Unknown,,,N/A,1 88 Coin = 0.3 USD,,,,Ethereum,"BTC, ETH, Fiat",,,,Taiwan,,,1.8,1.8,85%,3,1,1,15%,1,3,,1,,,1,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8gig,Po8,Utility,Ended,8/15/2018,2/15/2019,N/A,,,,,,,,,,Panama,,,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2B Taxi,TAXI,Utility,Trading,3/7/2018,6/30/2018,"$1,500,000",,,,,,,,,,Lithuania,,,3.4,2.9,50%,3.6,4.3,3.7,50%,4,4,3,3,,5,4,,3,3,5,,2,,,5,0.12,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7 Core,ASVN,Utility,Unknown,,,N/A,1 ASVN = 0.175 USD,Available,Available,,Ethereum,"ETH, USD",,"2,500,000 USD","20,000,000 USD",USA,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAA Coin,AAA,Utility,Ended,10/10/2017,11/28/2017,N/A,,,,,,,,,,Canada,,,2.4,2.4,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAcoin,RAA,Utility,Unknown,,,N/A,1 RAA = 0.00005 ETH,,,,Ethereum,ETH,,,"2,000,000 USD",Belgium,,,1.3,1.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aamicoin,AAMI,Utility,Ended,2/21/2018,3/25/2018,N/A,,,,,,,,,,UK,,USA,1.3,1.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaramco,ARM,Utility,Trading,4/24/2018,6/7/2018,N/A,,,,,,,,,,UK,,,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB-CHAIN,RTB,Utility,Trading,2/19/2018,3/31/2018,"$2,500,000",,,,,,,,,,Russia,,,3.6,3.8,19%,3.8,3.4,3.5,81%,19,5,5,3,,4,4,4,1,4,2,4,3,5,4,4,5,5,4,4,1,3,3,,3,,5,2,5,,4,,5,3,5,,3,,3,5,0.06,,5,,0.03,4,,,5,,,5,0.05,,3,,0.02,3,,,0.02,,,,0.04,,,,0.04,,,,0.02
Abab,AbabCoin,Utility,Ended,9/15/2017,10/15/2017,N/A,,,,,,,,,,Russia,,,2,2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbacasXchange,ABCS,Utility,Unknown,,,N/A,1 ABCS = 1.4 USD,Available,Available,,Ethereum,"ETH, BTC",1 ETH,"2,805,000 USD","32,187,500 USD",Panama,,USA,3.2,3.3,56%,3,3.7,2.6,44%,2,3,3,5,,,2,,0.25,2,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abele,ABELE,Utility,Ended,9/22/2018,1/22/2019,N/A,,,,,,,,,,Singapore,,None,4.4,4,45%,4.5,5,4.8,55%,4,5,4,4,,5,5,,5,5,5,,4,,,5,0.12,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbjCoin,ABJ,Utility,Ended,9/1/2017,10/30/2017,N/A,,,,,,,,,,,,,2.6,2.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABL,ABL,Utility,Ended,4/15/2018,5/15/2018,N/A,,,,,,,,,,Canada,,,2.7,2.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLE,ABLE,Utility,Ended,7/16/2018,8/10/2018,"$480,260",,,,,,,,,,Estonia,,,2.7,3.2,61%,2.6,2,1.4,39%,2,3,2,2,,,2,,0.22,2,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABR,AUG,Utility,Unknown,,,N/A,1 AUG = 1 USD,Available,,,Ethereum,ETH,,,"2,000 ETH",Russia,,,2.5,2.4,80%,3.1,3.6,2.6,20%,2,4,2,4,,,3,,0.12,2,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA Network,ACA,Utility,Ended,8/4/2018,12/2/2018,N/A,,,,,,,,,,Estonia,,"USA, China, Singapore",4.3,4.3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academia Lingu,LIN,Utility,Ended,10/1/2018,12/31/2018,N/A,,,,,,,,,,Turkey,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy,ACAD,Utility,Unknown,,,N/A,,,,,Ethereum,,,,"45,000,000 USD",USA,,,3,2.1,59%,4.4,4.1,4,41%,4,4,4,5,,5,3,,5,3,5,,5,,,4,0.12,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Network,ACX,Utility,Ended,,,N/A,,,,,,,,,,USA,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accord ICO,ARD,Utility,Ended,1/20/2018,2/19/2018,"$4,004,434",,,,,,,,,,Pakistan,,,2,2,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Blockchain,TAB,Utility,Trading,7/15/2018,9/30/2018,"$4,000,000",,,,,,,,,,Malta,,USA,3.6,4.3,70%,2,3,1,30%,1,2,,3,,,1,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Casino,CASI,Utility,118 days 17 hours left,1/1/2019,6/20/2019,N/A,,Available,Available,,Ethereum,"ETH, BTC, Fiat",,"20,000,000 USD","40,000,000 USD",Estonia,,USA,2.2,2.6,45%,1.7,2,2,55%,3,3,1,1,,,1,,2,1,,,2,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acebusters,ABP,Utility,Ended,9/21/2017,12/21/2017,N/A,,,,,,,,,,Estonia,,,3,3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceso,ASO,Utility,Ended,10/15/2018,12/15/2018,N/A,,,,,,,,,,Lithuania,,USA,3.9,4,21%,4.1,3.8,3.7,79%,11,4,5,4,,4,4,4,4,4,3,4,5,,4,3,3,,4,,4,4,3,,4,,,4,0.08,,3,,0.07,2,,,4,,,,0.06,,,,0.05,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,
AchieveCoin,ACH,Utility,Ended,1/14/2018,2/14/2018,N/A,,,,,,,,,,Canada,,,1.1,1.1,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aclyd,ACLYD,Utility,Ended,9/8/2018,12/15/2018,"$2,800,000",,,,,,,,,,Bermuda,,USA,4.2,4.3,49%,4.4,4.4,3.4,51%,3,5,4,4,,,4,,4,3,,,3,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acme Network,ACX,Utility,Ended,1/15/2018,2/28/2018,N/A,,,,,,,,,,USA,,,1,1,55%,1,1,1,45%,2,1,1,1,,,1,,0.24,1,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acoin,RAC Token,Utility,Ended,4/28/2018,5/28/2018,N/A,,,,,,,,,,Ukraine,,None,3,3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acomobase,ACO,Utility,Trading,2/1/2018,6/1/2018,N/A,,,,,,,,,,Cyprus,,,3.4,2.9,54%,4,4,4,46%,2,4,4,4,,,4,,0.24,4,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acorn Collective,OAK,Utility,Trading,5/26/2018,6/24/2018,"$15,000,000",,,,,,,,,,Gibraltar,,"USA, China",4.1,4.5,8%,4.5,4.1,3.6,92%,52,4,4,5,,4,4,5,5,3,4,5,4,5,4,5,4,4,5,5,4,3,5,,4,,5,2,4,,4,,3,5,3,,4,,3,4,0.02,,3,,0.03,4,,,3,,,3,0.03,,4,,0.03,3,,,0.03,,,,0.03,,,,0.01,,,,0.03
Acred,ACRE,Utility,Ended,6/20/2018,7/13/2018,N/A,,,,,,,,,,Singapore,,None,3.7,3.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT,ACT,Utility,Trading,11/18/2017,1/18/2018,"$500,000",,,,,,,,,,Switzerland,,,1.7,1.7,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action Coin,ACTN,Utility,Ended,2/9/2018,2/25/2018,N/A,,,,,,,,,,Canada,,,2.6,2.7,90%,2,2,2,10%,1,2,,2,,,2,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACUDEEN,ACU,Utility,Ended,5/27/2018,6/10/2018,"$35,000,000",,,,,,,,,,Singapore,,,3,3,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acuitty,ACT,Utility,Trading,9/16/2017,11/16/2017,N/A,,,,,,,,,,Singapore,,,1.6,1.6,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acumen,AMT,Utility,Ended,10/20/2017,11/20/2017,N/A,,,,,,,,,,,,,1.8,1.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AcuteCoin,XAC,Utility,Ended,6/25/2018,6/29/2018,N/A,,,,,,,,,,UK,,None,3,3.4,82%,1,1,1,18%,1,1,,1,,,1,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Funnel,FNL,Utility,Ended,9/1/2018,12/31/2018,N/A,,,,,,,,,,Malaysia,,,2.9,2.9,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD Lending,RAD,Utility,Unknown,,,N/A,1 RAD = 4 USD,Available,Available,,Ethereum,"ETH, BTC, Fiat",200 USD,,"50,000,000 USD",USA,,,2.8,2.8,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adab Solutions,ADAB,Utility,14 days 16 hours left,11/28/2018,3/8/2019,N/A,1 ADAB = 0.1 USD,Available,Available,,Ethereum,"ETH, BTC",100 USD,"2,500,000 USD","18,700,000 USD",United Arab Emirates,,USA,4.1,4.4,8%,4.2,4.1,3.9,92%,40,4,3,5,,5,5,4,3,4,3,4,5,5,4,5,5,5,5,5,3,4,3,,4,,5,5,5,,4,,5,3,5,,5,,4,5,0.03,,4,,0.03,5,,,5,,,4,0.03,,5,,0.03,4,,,0.03,,,,0.03,,,,0.03,,,,0.03
ADAMANT,ADM,Utility,Ended,1/30/2018,6/30/2018,N/A,,,,,,,,,,Ireland,,,3.9,3.9,100%,,,,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adbank,ADB,Utility,Ended,12/15/2017,1/14/2018,"$15,000,000",,,,,,,,,,Canada,,,3.4,4.3,34%,2.8,3.1,2.7,66%,8,1,3,3,,4,4,5,1,3,4,,4,,5,4,1,,4,,0.07,5,,,1,,,4,0.06,,,,0.06,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
